Designator,Mid X,Mid Y,Rotation,Layer
16VLED1,119.98,-106.29,270.0,top
16VLED2,143.022501,-123.55,180.0,top
3V3LED1,121.410001,-95.090178,180.0,top
BOOTJUMPER1,109.274,-93.192,90.0,top
C1,116.325,-90.325,0.0,top
C10,121.444,-92.851001,180.0,top
C11,124.562,-83.721001,0.0,top
C12,123.36024,-114.866133,315.0,bottom
C13,123.086,-81.007001,270.0,top
C14,119.356,-81.067002,90.0,top
C15,125.169653,-95.940193,0.0,top
C16,125.166,-95.016,0.0,top
C17,118.974001,-100.742001,90.0,top
C18,127.883376,-114.362029,225.0,top
C19,129.025,-116.475,0.0,top
C2,115.432,-92.014,270.0,top
C20,114.173617,-79.327002,270.0,top
C21,113.529241,-76.549144,90.0,top
C22,113.253617,-79.327001,270.0,top
C23,108.458617,-76.737002,90.0,top
C24,107.754999,-82.401,90.0,top
C25,107.751185,-84.480507,270.0,top
C26,117.09,-83.265,270.0,top
C27,117.572,-85.0,180.0,top
C28,124.990121,-114.94745,135.0,bottom
C29,119.612574,-110.185086,135.0,bottom
C3,112.813,-90.853,90.0,top
C30,126.195738,-115.467173,135.0,bottom
C4,116.325,-89.375,0.0,top
C5,116.325,-88.4,0.0,top
C6,117.389411,-86.439411,135.0,top
C7,118.062,-83.263001,90.0,top
C8,116.644,-92.708,90.0,top
C9,118.983669,-83.266364,90.0,top
CANRXLED1,122.02,-97.31,90.0,top
CANTXLED1,123.77,-93.455,270.0,top
D1,118.96866,-97.90847,90.0,top
D10,127.408,-78.018,270.0,top
D11,140.12,-68.76,180.0,top
D12,140.13,-73.83,180.0,top
D13,140.12,-76.47,180.0,top
D14,140.12,-71.27,180.0,top
D15,142.98,-93.265,90.0,bottom
D16,142.96,-83.735,90.0,bottom
D17,142.93,-102.635,90.0,bottom
D18,142.9,-112.165,90.0,bottom
D2,121.11,-77.159932,0.0,top
D3,139.981697,-83.11,90.0,top
D4,139.981605,-102.018222,90.0,top
D5,127.41,-69.1325,270.0,top
D6,127.41,-72.0925,270.0,top
D7,140.008,-92.564,90.0,top
D8,139.967188,-111.6,90.0,top
D9,127.405,-75.045,270.0,top
ENJUMPER1,109.273,-89.584,90.0,top
Firing1,131.71,-87.345,90.0,top
Firing2,131.73,-96.7725,90.0,top
Firing3,131.75,-106.26,90.0,top
Firing4,131.72,-115.84,90.0,top
J1,105.5491,-104.599999,90.0,top
J2,121.206,-71.86,180.0,top
J3,146.583393,-83.409136,90.0,top
J4,146.609699,-92.863138,90.0,top
J5,146.583299,-102.317359,90.0,top
J6,146.568882,-111.89914,90.0,top
JP1,121.817,-102.32,90.0,top
L1,116.325,-87.425,0.0,top
L2,120.566,-83.257001,90.0,top
L3,110.986051,-74.169039,180.0,top
Q1,133.3,-84.435,270.0,top
Q2,133.3,-93.889,270.0,top
Q3,133.3,-103.343222,270.0,top
Q4,133.3,-112.925,270.0,top
Q5,116.412599,-117.24501,135.0,bottom
Q6,120.975,-120.775,270.0,bottom
R1,114.447,-91.999,90.0,top
R10,120.16766,-102.247081,270.0,top
R11,123.76,-76.05,0.0,top
R12,115.46,-72.97,90.0,top
R13,115.46,-70.54,90.0,top
R14,115.112001,-75.666998,270.0,top
R15,111.173615,-80.187,0.0,top
R16,116.101186,-83.553223,90.0,top
R17,116.101184,-81.693223,90.0,top
R18,131.72,-89.26,270.0,top
R19,131.73,-98.69,270.0,top
R2,125.07,-80.4,180.0,top
R20,128.87,-69.1325,270.0,top
R21,128.87,-72.0925,270.0,top
R22,130.49,-85.9,270.0,top
R23,130.72,-96.779999,270.0,top
R24,130.72,-106.26,90.0,top
R25,130.71,-115.83,90.0,top
R26,128.867,-75.053,270.0,top
R27,128.869,-78.016,270.0,top
R28,129.77,-114.38,270.0,top
R29,129.86,-104.79,270.0,top
R3,113.182,-92.756,270.0,top
R30,121.08,-97.32,90.0,top
R31,123.86,-108.44,315.0,top
R32,125.25,-109.82,135.0,top
R33,129.075,-120.775,0.0,top
R34,128.515,-117.925,90.0,top
R35,129.505,-117.925001,90.0,top
R36,119.978627,-108.160427,90.0,top
R37,121.139925,-108.898151,135.0,bottom
R38,120.878295,-107.745567,315.0,bottom
R39,120.46,-106.02,270.0,bottom
R4,121.41,-94.150178,0.0,top
R40,141.009376,-123.089376,315.0,top
R5,123.049113,-110.142659,225.0,bottom
R6,125.08,-82.28,180.0,top
R7,123.770923,-95.440382,90.0,top
R8,126.55,-104.475,180.0,top
R9,117.73766,-102.24708,90.0,top
TXLED1,125.07,-81.34,180.0,top
U1,122.626,-88.287,0.0,top
U2,125.252,-100.101,180.0,top
U3,115.893618,-77.895,90.0,top
U4,110.99069,-77.917002,90.0,top
U5,111.92,-83.531,0.0,top
U6,133.664,-73.24635,90.0,top
U7,125.453033,-113.146967,315.0,top
U8,122.076159,-112.412606,225.0,bottom
USBLED1,114.52,-70.54,90.0,top
Y1,121.226,-81.027,0.0,top
